n,y,n,y,y,n,n,n,y,u,y,y,y,n,y,R
n,y,n,y,y,n,n,n,n,n,y,y,y,n,u,R
u,y,y,y,y,n,n,n,n,y,n,y,y,n,n,D
n,y,y,u,y,n,n,n,n,y,n,y,n,n,y,D
y,y,y,y,y,n,n,n,n,y,u,y,y,y,y,D
n,y,y,y,y,n,n,n,n,n,n,y,y,y,y,D
n,y,n,y,y,n,n,n,n,n,n,u,y,y,y,D
n,y,n,y,y,n,n,n,n,n,n,y,y,u,y,R
n,y,n,y,y,n,n,n,n,n,y,y,y,n,y,R
y,y,y,n,n,y,y,y,n,n,n,n,n,u,u,D
n,y,n,y,n,n,n,n,n,u,u,y,y,n,n,R
n,y,n,y,y,n,n,n,n,y,u,y,y,u,u,R
n,y,y,n,n,y,y,y,n,n,n,y,n,u,u,D
y,y,y,n,y,y,y,u,y,y,u,n,n,y,u,D
n,y,n,y,y,n,n,n,n,n,y,u,u,n,u,R
n,y,n,y,y,n,n,n,y,n,y,y,u,n,u,R
y,n,y,n,y,n,y,u,y,y,y,u,n,n,y,D
y,u,y,n,n,y,y,y,n,n,n,y,n,y,y,D
n,y,n,y,y,n,n,n,n,n,u,y,y,n,n,R
y,y,y,n,n,y,y,y,n,y,n,n,n,y,y,D
y,y,y,n,u,y,y,n,n,y,n,n,n,y,y,D
y,y,y,n,n,y,y,y,n,n,n,u,u,y,y,D
y,u,y,n,n,y,y,y,n,n,u,n,n,y,y,D
y,y,y,n,n,y,y,y,n,n,n,n,n,y,y,D
y,n,y,n,n,y,y,y,n,n,n,n,n,y,u,D
y,n,y,n,n,y,y,y,y,n,n,n,n,y,y,D
y,n,y,n,n,y,y,y,n,y,n,n,n,y,y,D
y,y,y,n,n,y,y,y,n,y,n,n,n,y,y,D
y,n,n,y,n,y,y,y,n,n,y,y,y,n,y,R
y,y,y,n,n,y,y,y,n,y,n,n,n,y,y,D
n,y,n,y,y,n,n,n,n,n,y,y,y,n,n,R
y,y,y,n,n,y,y,y,n,y,n,n,n,y,u,D
y,y,y,n,n,y,y,y,y,n,n,y,n,y,y,D
n,y,n,y,y,n,n,n,n,n,y,y,y,n,y,R
y,y,y,n,n,y,y,y,n,n,n,n,n,y,y,D
n,y,n,y,y,n,n,n,n,n,y,y,y,n,n,R
y,u,n,y,y,n,n,n,y,n,y,u,y,n,y,R
y,y,n,y,y,n,n,n,n,n,n,y,y,n,y,R
n,y,n,y,y,n,n,n,y,n,y,y,y,n,n,R
y,n,y,n,n,y,y,y,y,y,n,y,n,y,y,D
y,y,y,n,n,y,y,y,n,u,n,n,n,n,u,D
y,y,y,n,n,y,y,y,n,n,n,n,n,y,u,D
y,n,y,n,n,y,y,y,n,n,n,n,n,n,y,D
y,n,y,n,n,y,y,y,n,n,n,n,n,y,y,D
y,y,y,n,n,y,y,y,n,y,n,n,n,n,u,D
y,y,y,n,n,y,y,u,n,y,n,n,n,y,u,D
y,y,y,n,n,y,y,y,n,n,n,n,n,n,y,D
y,n,y,n,n,y,y,u,n,n,n,n,n,n,u,D
y,y,y,n,n,y,y,n,n,n,n,n,y,n,y,D
n,u,n,y,y,n,n,n,n,n,y,y,y,n,n,R
y,y,y,n,n,y,y,y,n,y,n,n,n,y,y,D
n,y,n,y,y,n,u,n,n,n,y,y,y,n,y,R
y,y,y,n,n,y,y,y,n,n,n,n,n,u,u,D
