1.00,2558.00,1506.09,456.63,90.00,6395000.00,40.88,7.89,29780.00,0.19,214.70,0.21,0.26,0.49,0.10,0.40,99.59,32.19,1.84,0.16,0.20,87.65,0.00,0.47,132.78,-0.01,3.78,0.22,3.20,-3.71,-0.18,2.19,0.00,2.19,310.00,16110.00,0.00,138.68,89.00,69.00,2850.00,1000.00,763.16,135.46,3.73,0.00,33243.19,65.74,7.95,1
2.00,22325.00,79.11,841.03,180.00,55812500.00,51.11,1.21,61900.00,0.02,901.70,0.02,0.03,0.11,0.01,0.11,6058.23,4061.15,2.30,0.02,0.02,87.65,0.00,0.58,132.78,-0.01,3.78,0.84,7.09,-2.21,0.00,0.00,0.00,0.00,704.00,40140.00,0.00,68.65,89.00,69.00,5750.00,11500.00,9593.48,1648.80,0.60,0.00,51572.04,65.73,6.26,0
3.00,115.00,1449.85,608.43,88.00,287500.00,40.42,7.34,3340.00,0.18,86.10,0.21,0.32,0.50,0.17,0.34,71.20,16.73,1.82,0.19,0.29,87.65,0.00,0.46,132.78,-0.01,3.78,0.70,4.79,-3.36,-0.23,1.95,0.00,1.95,29.00,1530.00,0.01,38.80,89.00,69.00,1400.00,250.00,150.00,45.13,9.33,1.00,31692.84,65.81,7.84,1
4.00,1201.00,1562.53,295.65,66.00,3002500.00,42.40,7.97,18030.00,0.19,166.50,0.21,0.26,0.48,0.10,0.38,120.22,33.47,1.91,0.16,0.21,87.65,0.00,0.48,132.78,-0.01,3.78,0.84,6.78,-3.54,-0.33,2.20,0.00,2.20,183.00,10080.00,0.00,108.27,89.00,69.00,6041.52,761.58,453.21,144.97,13.33,1.00,37696.21,65.67,8.07,1
5.00,312.00,950.27,440.86,37.00,780000.00,41.43,7.03,3350.00,0.17,232.80,0.15,0.19,0.35,0.09,0.26,289.19,48.68,1.86,0.13,0.16,87.65,0.00,0.47,132.78,-0.01,3.78,0.02,2.28,-3.44,-0.44,2.19,0.00,2.19,45.00,2340.00,0.00,14.39,89.00,69.00,1320.04,710.63,512.54,109.16,2.58,0.00,29038.17,65.66,7.35,0
6.00,54.00,1438.13,544.91,82.00,135000.00,44.67,6.92,1570.00,0.15,86.00,0.18,0.25,0.53,0.15,0.38,55.25,29.21,2.01,0.16,0.22,87.65,0.00,0.51,132.78,-0.01,3.78,0.57,3.34,-3.89,-0.25,1.96,0.00,1.96,12.00,720.00,0.01,18.26,89.00,69.00,608.28,200.00,150.00,52.22,4.06,0.00,30967.25,65.77,7.85,1
7.00,116.00,1446.29,580.94,97.00,290000.00,41.53,6.24,3660.00,0.15,79.20,0.21,0.30,0.49,0.14,0.35,207.31,21.67,1.87,0.17,0.27,87.65,0.00,0.47,132.78,-0.01,3.78,0.10,2.57,-3.50,-0.09,1.95,0.00,1.95,36.00,2070.00,0.01,46.19,89.00,69.00,1060.66,403.11,164.58,114.82,6.44,0.00,31258.37,65.79,7.85,1
8.00,57.00,28.68,715.39,141.00,142500.00,51.67,0.83,1810.00,0.02,78.70,0.02,0.03,0.07,0.02,0.05,5717.00,1678.13,2.32,0.02,0.03,87.65,0.00,0.59,132.78,-0.01,3.78,-0.07,3.34,-2.01,-0.40,1.95,0.00,1.95,18.00,1170.00,0.01,22.99,89.00,69.00,500.00,360.56,165.71,132.47,3.02,0.00,51985.06,65.67,6.25,0
9.00,188.00,964.23,456.23,22.00,470000.00,38.90,5.89,3720.00,0.15,126.30,0.19,0.24,0.38,0.09,0.29,125.35,49.55,1.75,0.14,0.19,87.65,0.00,0.44,132.78,-0.01,3.78,0.89,6.30,-3.58,-0.59,2.19,0.00,2.19,43.00,2610.00,0.01,29.44,89.00,69.00,1569.24,492.44,256.77,124.72,6.11,0.00,28871.82,65.67,7.36,1
10.00,64.00,903.02,274.88,33.00,160000.00,41.22,7.90,1850.00,0.19,86.50,0.19,0.25,0.36,0.12,0.24,64.34,22.56,1.85,0.19,0.25,87.65,0.00,0.47,132.78,-0.01,3.78,-0.51,1.86,-1.39,-0.63,2.20,0.00,2.20,17.00,1080.00,0.01,21.39,89.00,69.00,471.70,223.61,182.83,50.12,2.58,0.00,32053.95,65.58,7.35,1
11.00,59.00,1127.41,1507.76,42.00,147500.00,47.59,4.72,1800.00,0.10,81.90,0.11,0.14,0.23,0.09,0.14,431.19,73.40,2.14,0.10,0.13,87.65,0.00,0.54,132.78,-0.01,3.78,0.97,5.05,-3.64,-0.48,1.94,0.00,1.94,21.00,1260.00,0.01,21.97,89.00,69.00,707.11,212.13,120.21,47.73,5.88,0.00,55128.46,66.18,7.18,1
